City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,lihue,21.9789,-159.3672,28.77,66,20,5.14,US,1693168482
100,tazacorte,28.629,-17.9293,24.54,78,75,8.23,ES,1693168482
101,valle del guamuez,0.4525,-76.9192,34.68,39,12,1.16,CO,1693168482
102,mata-utu,-13.2816,-176.1745,26.76,78,100,11.73,WF,1693168483
103,neryungri,56.6709,124.6491,8.36,86,11,0.23,RU,1693168483
104,labrador city,52.9463,-66.9114,17.95,42,20,2.06,CA,1693168483
105,lib,8.3122,167.3766,28.32,74,93,8.24,MH,1693168484
106,tual,-5.6667,132.75,25.18,85,97,9.91,ID,1693168484
107,anadyr,64.75,177.4833,10.28,76,0,5.0,RU,1693168484
108,tralee,52.2704,-9.7026,14.09,89,100,3.68,IE,1693168484
109,tateyama,34.9833,139.8667,26.31,82,100,3.38,JP,1693168484
110,dakhla,23.6848,-15.958,23.01,83,3,12.35,EH,1693168484
111,acajutla,13.5928,-89.8275,30.32,70,83,4.07,SV,1693168485
112,guymon,36.6828,-101.4816,29.0,39,0,1.47,US,1693168192
113,dadukou,26.5479,101.7054,19.41,97,100,0.95,CN,1693168485
114,mar del plata,-38.0023,-57.5575,12.01,68,20,7.6,AR,1693168485
115,sisimiut,66.9395,-53.6735,5.46,87,100,20.03,GL,1693168275
116,puerto ayora,-0.7393,-90.3518,30.98,88,72,5.81,EC,1693168485
117,pratt,37.6439,-98.7376,30.12,35,0,4.12,US,1693168486
118,iskateley,67.6803,53.1512,6.61,93,100,3.49,RU,1693168486
119,fort st. john,56.2499,-120.8529,23.94,43,0,6.69,CA,1693168486
120,port elizabeth,-33.918,25.5701,12.16,94,0,3.6,ZA,1693168486
121,chegdomyn,51.1167,133.0167,11.06,97,42,0.66,RU,1693168486
122,rio grande,-32.035,-52.0986,14.06,61,2,4.89,BR,1693168486
123,remire-montjoly,4.9167,-52.2667,31.02,66,0,4.12,GF,1693168487
124,grytviken,-54.2811,-36.5092,-2.26,83,31,4.36,GS,1693168487
125,happy valley-goose bay,53.3168,-60.3315,13.17,94,100,3.09,CA,1693168487
126,jumla,29.2747,82.1838,13.6,93,43,0.9,NP,1693168487
127,thompson,55.7435,-97.8558,14.09,77,100,3.6,CA,1693168487
128,muli,2.9167,73.5667,27.63,77,40,3.32,MV,1693168487
129,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1693168304
130,egilsstadir,65.2653,-14.3948,10.95,76,75,3.09,IS,1693168488
131,selfoss,63.9331,-20.9971,11.14,93,100,2.89,IS,1693168488
132,hawaiian paradise park,19.5933,-154.9731,27.73,73,40,0.0,US,1693168488
133,punta arenas,-53.15,-70.9167,4.46,90,100,3.41,CL,1693168223
134,port mathurin,-19.6833,63.4167,22.48,74,19,11.59,MU,1693168488
135,nagqu,31.5,92.0,3.5,96,100,1.97,CN,1693168489
136,pathein,16.7833,94.7333,25.19,94,100,2.55,MM,1693168489
137,quellon,-43.1167,-73.6167,8.71,94,100,9.68,CL,1693168489
138,san patricio,28.017,-97.5169,39.48,25,0,0.62,US,1693168489
139,pyapon,16.2833,95.6833,25.85,91,100,2.14,MM,1693168489
140,lamesa,32.7376,-101.951,33.62,38,23,2.59,US,1693168489
141,phan thiet,10.9333,108.1,24.96,90,63,4.38,VN,1693168489
142,fale old settlement,-9.3852,-171.2468,27.92,70,100,5.53,TK,1693168490
143,zhezqazghan,47.7833,67.7667,14.3,64,100,6.77,KZ,1693168490
144,bowen,-20.0167,148.2333,16.65,90,6,3.9,AU,1693168490
145,koubia,11.5833,-11.9,21.42,92,100,0.79,GN,1693168490
146,boden,65.8252,21.6886,14.0,82,100,0.62,SE,1693168490
147,st. john's,47.5649,-52.7093,20.99,81,75,5.14,CA,1693168200
148,lebu,-37.6167,-73.65,12.08,67,96,4.57,CL,1693168491
149,del rio,29.3627,-100.8968,40.69,25,0,8.49,US,1693168491
150,tsumeb,-19.2333,17.7167,21.44,16,3,6.82,NA,1693168491
151,bilkha,21.4333,70.6,24.36,79,16,2.57,IN,1693168491
152,chandbali,20.7833,86.7667,28.12,74,65,3.12,IN,1693168491
153,lompoc,34.6391,-120.4579,37.79,65,20,5.14,US,1693168491
154,charters towers,-20.1,146.2667,12.7,87,0,1.83,AU,1693168492
155,coquimbo,-29.9533,-71.3436,17.85,63,0,5.66,CL,1693168492
156,khouribga,32.9333,-6.6,20.18,41,0,7.12,MA,1693168492
157,ghadamis,30.1337,9.5007,32.02,32,65,2.19,LY,1693168492
158,lata,40.1629,-8.3327,18.23,90,32,1.37,PT,1693168492
159,segezha,63.7415,34.3222,8.43,84,85,1.94,RU,1693168492
160,qaqortoq,60.7167,-46.0333,8.6,63,100,2.62,GL,1693168493
161,ahar,38.4774,47.0699,16.67,78,0,2.12,IR,1693168493
162,murun-kuren,49.6342,100.1625,12.94,81,29,0.41,MN,1693168493
163,qamdo,31.1667,97.2333,4.68,92,99,0.7,CN,1693168493
164,whitecourt,54.1502,-115.6855,24.58,43,20,0.0,CA,1693168346
165,tannum sands,-23.9504,151.3693,15.97,88,3,2.06,AU,1693168493
166,kristiansund,63.1115,7.732,14.36,94,75,6.17,NO,1693168494
167,muynoq,43.7683,59.0214,18.51,32,12,2.75,UZ,1693168494
168,west island,-12.1568,96.8225,23.99,88,100,6.69,CC,1693168494
169,kruisfontein,-34.0033,24.7314,10.09,85,0,1.67,ZA,1693168494
170,badger,64.8,-147.5333,18.95,66,40,1.54,US,1693168494
171,brisas de zicatela,15.8369,-97.0419,31.29,58,75,2.57,MX,1693168495
172,afaahiti,-17.75,-149.2833,26.93,72,40,8.44,PF,1693168495
173,chui,-33.6971,-53.4616,7.61,61,1,3.75,UY,1693168495
174,chonchi,-42.6128,-73.8092,7.84,94,100,4.83,CL,1693168495
175,florida,28.7505,-82.5001,35.51,59,0,2.06,US,1693168242
176,kavieng,-2.5744,150.7967,27.14,80,72,4.35,PG,1693168496
177,yuzhno-kurilsk,44.0306,145.8556,19.58,100,100,1.79,RU,1693168498
178,mount pearl,47.5166,-52.7813,19.98,81,75,5.14,CA,1693168498
179,nova sintra,14.8667,-24.7167,24.88,79,22,3.44,CV,1693168498
180,yeppoon,-23.1333,150.7333,14.88,88,7,4.09,AU,1693168498
181,guerrero negro,27.9769,-114.0611,26.85,55,5,6.01,MX,1693168499
182,east london,-33.0153,27.9116,14.87,81,4,2.79,ZA,1693168499
183,ust-nera,64.5667,143.2,11.16,92,99,1.33,RU,1693168342
184,nar'yan-mar,67.6713,53.087,6.67,93,100,3.52,RU,1693168499
185,marsala,37.7966,12.4352,31.97,58,0,10.8,IT,1693168499
186,pisco,-13.7,-76.2167,21.03,73,0,5.14,PE,1693168472
